Volumendealcohol,Acidez,Azúcarresidual,Azufre,Medalla
16.00,5.30,6.30,98.00,Gold
16.00,5.56,2.90,64.00,Gold
14.00,5.20,4.00,120.00,Gold
13.00,5.10,3.30,102.00,Gold
14.50,6.00,1.00,95.00,Gold
14.00,5.40,4.00,102.00,Gold
14.00,6.00,2.70,101.00,Gold
13.00,5.10,1.00,90.00,Gold
15.00,5.40,2.00,5.00,Gold
14.00,5.80,2.50,34.00,Gold
14.50,5.50,1.80,71.00,Gold
14.72,3.56,0.86,88.00,Gold
13.50,3.50,2.00,100.00,Gold
14.46,3.20,0.00,12.00,Gold
14.00,3.20,0.10,0.00,Gold
14.50,5.60,0.47,94.00,Gold
14.50,5.82,0.50,56.00,Gold
15.30,5.80,4.00,70.00,Gold
13.50,5.71,3.40,100.00,Gold
15.00,4.07,0.90,38.00,Gold
14.50,5.60,0.49,90.00,Gold
14.00,5.00,0.43,96.00,Gold
13.00,5.60,3.00,121.00,Gold
12.50,4.10,5.60,173.00,Gold
14.60,6.00,8.86,81.00,Gold
14.50,6.00,15.50,80.00,Gold
14.50,5.95,0.02,82.00,Gold
14.50,5.56,0.02,24.00,Gold
13.00,5.47,4.00,140.00,Gold
15.00,5.80,0.70,50.00,Gold
13.00,5.10,1.50,127.00,Gold
13.80,0.59,5.20,127.00,Gold
14.00,5.30,0.60,20.00,Gold
13.80,5.30,4.20,118.00,Gold
13.80,5.40,5.00,88.00,Gold
13.90,5.00,2.50,147.00,Gold
13.50,5.90,3.30,113.00,Gold
15.00,5.50,3.47,91.00,Gold
14.00,5.40,10.20,140.00,Gold
14.00,4.95,8.00,110.00,Gold
13.50,5.22,4.10,86.00,Gold
14.50,3.08,0.50,45.00,Gold
14.00,3.18,0.20,55.00,Gold
14.00,2.96,0.50,35.00,Gold
13.82,4.95,2.00,67.00,Gold
13.60,0.74,1.90,94.00,Gold
13.40,6.20,2.00,69.00,Gold
14.00,5.00,2.66,0.00,Gold
14.50,5.63,1.20,148.00,Gold
13.50,5.40,1.60,90.00,Gold
13.50,5.13,2.20,125.00,Gold
13.50,0.15,0.30,58.00,Gold
14.50,4.62,0.36,72.00,Gold
13.90,5.40,4.20,19.00,Grand Gold
13.97,4.37,0.60,52.00,Gold
12.00,6.30,1.50,10.00,Gold
15.00,6.23,1.98,93.00,Gold
14.00,5.40,2.73,98.00,Gold
14.00,0.46,11.65,130.00,Gold
14.50,5.60,0.30,104.00,Gold
14.50,5.25,0.61,93.00,Gold
14.70,5.60,0.49,7.00,Gold
14.25,5.25,1.80,93.00,Gold
14.50,5.51,1.95,98.00,Gold
14.50,4.90,0.96,80.00,Gold
14.00,4.90,0.66,78.00,Gold
14.00,6.00,4.00,130.00,Gold
14.50,5.65,2.80,140.00,Gold
12.90,5.60,2.90,68.00,Gold
14.50,0.00,0.00,0.00,Gold
13.50,5.60,2.00,134.00,Gold
14.00,0.74,2.60,0.00,Gold
14.50,4.90,2.70,110.00,Gold
13.60,5.30,6.50,120.00,Gold
14.00,4.90,1.70,85.00,Gold
14.91,5.05,1.70,43.00,Gold
13.70,3.11,2.06,0.00,Gold
13.50,5.10,2.40,39.00,Gold
