Trophy,Nombre,Añada,Productor,Paísdecultivo,Regióndecultivo,Categoría,Gusto,Vinificación,Tipodevino,Tipodeuva,Volumendealcohol,Acidez,Azúcarresidual,Azufre,Precioindicativo,Medalla
Asia Wine Trophy 2022,AMARONE DELLA VALPOLICELLA RISERVA DOCG,2013,Monte Cillario Societa' Agricola s.s,Italia,Veneto - Verona,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Rondinella, Croatina, Corvina, Corvinone",16,"5,3","6,3",98,"42,95",Gold
Asia Wine Trophy 2022,AMARONE DELLA VALPOLICELLA DOCG,2016,Monte Cillario Societa' Agricola s.s,Italia,Veneto - Verona,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Rondinella, Corvina, Corvinone",16,"5,56","2,9",64,"30,5",Gold
Asia Wine Trophy 2022,Miles 10 anos Rich,sin añada,"Madeira Wine Company, S.A.",Portugal,Madeira,Vino licoroso,dulce,maduración en barrica - 100%,tinto,Tinta Negra,19,7,120,35,"25,2",Grand Gold
Asia Wine Trophy 2022,Masia La Sala Tinto,2019,Masia Vallformosa,España,Katalonien,Vino tranquilo,semi-dry,tanque de acero,tinto,"Garnatxa Negra, Tempranillo, Cabernet Sauvignon","13,85","3,4","1,6",62,No especificado,Gold
Asia Wine Trophy 2022,Mas La Roca Tinto,2018,Masia Vallformosa,España,Katalonien,Vino tranquilo,semi-dry,tanque de acero,tinto,"Garnacha, Tempranillo, Cabernet Sauvignon","13,85","3,4","1,6",62,No especificado,Gold
Asia Wine Trophy 2022,Cultivare Sumoll Samsó,2018,Masia Vallformosa,España,Katalonien,Vino tranquilo,semi-dry,maduración en barrica de madera,tinto,"Sumoll, Samsó","14,3","3,95","0,75",105,No especificado,Gold
Asia Wine Trophy 2022,Freyé Syrah Tempranillo,2019,Masia Vallformosa,España,Katalonien,Vino tranquilo,semi-dry,tanque de acero,tinto,"Syrah, Tempranillo","13,95","3,35","1,3",60,No especificado,Gold
Asia Wine Trophy 2022,Castillo de Anna Gran Selección,2015,Anecoop,España,Valencia,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,14,"5,2",4,120,12,Gold
Asia Wine Trophy 2022,"MERLOT GARDA DOC ""COLLI MORENICI""",2021,Cantina Valpantena Verona SCA,Italia,Lombardei,Vino tranquilo,Seco,tanque de acero,tinto,Merlot,13,"5,1","3,3",102,5,Gold
Asia Wine Trophy 2022,NERO PER SEMPRE,2018,Pratello Azienda Agricola,Italia,Lombardei,Vino tranquilo,Seco,tanque de acero,tinto,"Rebo, Merlot","14,5",6,1,95,"25,7",Gold
Asia Wine Trophy 2022,Feteasca Neagră Domeniile Pripa,2018,Teba Prim SRL,Moldavia,Purcari,Vino tranquilo,brut,maduración en barrica - 100%,tinto,Fetească Neagră,"14,9","4,7","1,7",90,18,Gold
Asia Wine Trophy 2022,AROMANES Côtes de Rhône,2020,Sovex Grandschâteaux,Francia,Rhône,Vino tranquilo,afrutado,No especificado,tinto,"Mourvedre, Carignan, Grenache, Syrah",15,0,0,0,"4,5",Gold
Asia Wine Trophy 2022,Cabernet Sauvignon Reserve Amphora,2019,Imperial Vin Group,Moldavia,Tigheci,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Cabernet Sauvignon,14,"5,4",4,102,5,Gold
Asia Wine Trophy 2022,Merlot-Rara Neagra Grape Angel,2019,Imperial Vin Group,Moldavia,Tigheci,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Merlot, Rara neagra",14,6,"2,7",101,3,Gold
Asia Wine Trophy 2022,IlMorantino,2020,La Pruina SNC,Italia,Puglia,Vino tranquilo,Semi seco,maduración en barrica - parcialmente,tinto,Negroamaro,"12,5",6,12,110,10,Gold
Asia Wine Trophy 2022,GIA Feteasca Neagra,2019,Caragia Winery S.R.L.,Moldavia,Codru,Vino tranquilo,Seco,tanque de acero,tinto,Fetească Neagră,13,"5,1",1,90,"3,5",Gold
Asia Wine Trophy 2022,elegant merlot reserve,2018,Alona Winery,Israel,Zichron Ja´akow,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Merlot, Cabernet Sauvignon",15,"5,4",2,5,33,Gold
Asia Wine Trophy 2022,MARQUES DEL CRUZ,2016,Sovex Grandschâteaux,España,Navarra,Vino tranquilo,afrutado,No especificado,tinto,"Tempranillo, Viura","13,5",0,0,0,"8,6",Gold
Asia Wine Trophy 2022,Los Dominios de Berceo Graciano,2018,Bodegas Manzanos,España,Navarra,Vino tranquilo,Seco,Hormigón,tinto,Graciano,14,"5,8","2,5",34,"30,49",Gold
Asia Wine Trophy 2022,SELECTION Vladlen Uzhakov Feteasca Neagra,2020,IM VINUM srl,Moldavia,Purcari,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Fetească Neagră,"14,5","5,5","1,8",71,14,Gold
