Trophy,Nombre,Añada,Productor,Paísdecultivo,Regióndecultivo,Categoría,Gusto,Vinificación,Tipodevino,Tipodeuva,Volumendealcohol,Acidez,Azúcarresidual,Azufre,Precioindicativo,Bio,Medalla
Berlin -Edición de verano- 2022,Root: 1 Backbone,2019,Ventisquero Wine Estates,Chile,Colchagua Valley,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Syrah, Petit Verdot, Carmenère, Cabernet Sauvignon",14,5,"2,66",0,22,No,Gold
Berlin -Edición de verano- 2022,Blauer Portugieser,2020,Landesweingut Kloster Pforta GmbH,Alemania,Saale-Unstrut,Vino tranquilo,Seco,tanque de acero,tinto,Blauer Portugieser,12,"4,8",0,90,"13,5",No,Gold
Berlin -Edición de verano- 2022,Selektion Gerlachsheimer Herrenberg Spätburgunder QbA trocken Barrique,2020,Becksteiner Winzer eG,Alemania,"Baden, Bereich Tauberfranken",Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Spätburgunder,14,"6,2","1,7",103,14,No,Gold
Berlin -Edición de verano- 2022,Alte Reben Gerlachsheimer Herrenberg Spätburgunder QbA Barrique,2020,Becksteiner Winzer eG,Alemania,"Baden, Bereich Tauberfranken",Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Spätburgunder,14,"6,1",1,108,16,No,Gold
Berlin -Edición de verano- 2022,AROME DE FRANCE,2021,EDEKA Zentralhandelsgesellschaft mbH,Francia,Languedoc,Vino tranquilo,Seco,tanque de acero,tinto,Syrah,"12,8","2,68",6,52,"4,49",No,Gold
Berlin -Edición de verano- 2022,AROME DE FRANCE,2021,EDEKA Zentralhandelsgesellschaft mbH,Francia,Languedoc,Vino tranquilo,Seco,tanque de acero,tinto,Cabernet Sauvignon,"12,98","2,97",6,23,"4,49",No,Gold
Berlin -Edición de verano- 2022,Saperavi Cabernet Vinobiza,2020,Wine Company Shumi Ltd,Georgia,Kachetien,Vino tranquilo,Seco,tanque de acero,tinto,"Cabernet Sauvignon, Saperavi",13,5,"2,5",30,9,No,Gold
Berlin -Edición de verano- 2022,FINCA SOBREÑO RESERVA SELECCIÓN ESPECIAL,2018,Bodegas Sobreno,España,Castilla y León,Vino tranquilo,Seco,tanque de acero,tinto,Tempranillo,"14,5","5,3","1,7",45,"18,4",No,Gold
Berlin -Edición de verano- 2022,Viginti Malbec,2021,"Finca la Estacada, S.L.",España,La Mancha,Vino tranquilo,Seco,No especificado,tinto,Malbec,"13,5","0,38","0,27",17,"5,65",No,Gold
Berlin -Edición de verano- 2022,Viginti Petit Verdot,2021,"Finca la Estacada, S.L.",España,La Mancha,Vino tranquilo,Seco,No especificado,tinto,Petit Verdot,"14,5","0,39","0,38",42,"5,65",No,Gold
