Trophy,Nombre,Añada,Productor,Paísdecultivo,Regióndecultivo,Categoría,Gusto,Vinificación,Tipodevino,Tipodeuva,Volumendealcohol,Acidez,Azúcarresidual,Azufre,Precioindicativo,Bio,Medalla
Portugal Wine Trophy 2022,Adega de Pegões Alicante Bouschet,2017,Cooperativa Agricola Sto.isidro de Pegões CRL,Portugal,Peninsual de setubal,Vino tranquilo,Seco,tanque de acero,tinto,Alicante Bouschet,"14,5","5,28","5,5",90,"5,5",No,Gold
Portugal Wine Trophy 2022,Vale da Judia Reserva tinto,2019,Cooperativa Agricola Sto.isidro de Pegões CRL,Portugal,Peninsual de setubal,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Syrah, Alicante Bouschet, Cabernet Sauvignon, Touriga Nacional",14,5,5,38,4,No,Gold
Portugal Wine Trophy 2022,Adega de Pegoes Syrah,2019,Cooperativa Agricola Sto.isidro de Pegões CRL,Portugal,Peninsual de setubal,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Syrah,14,"4,9",4,148,5,No,Gold
Portugal Wine Trophy 2022,Adega de Pegões Colheita Selecionada tinto,2016,Cooperativa Agricola Sto.isidro de Pegões CRL,Portugal,Peninsual de setubal,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Touriga Nacional, Cabernet Sauvignon, Syrah, Aragonez",14,"4,8",4,128,"7,5",No,Gold
Portugal Wine Trophy 2022,Encostas da Arrábida Vinhas Velhas tinto,2017,Cooperativa Agricola Sto.isidro de Pegões CRL,Portugal,Peninsual de setubal,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Touriga Nacional, Castelão, Aragonez","14,5",5,5,38,15,No,Gold
Portugal Wine Trophy 2022,Adega de Pegões Aragonez,2016,Cooperativa Agricola Sto.isidro de Pegões CRL,Portugal,Peninsual de setubal,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Aragonez,"14,5","4,07",2,120,"7,5",No,Gold
Portugal Wine Trophy 2022,Alto Pina Vinhas Velhas tinto,2017,Cooperativa Agricola Sto.isidro de Pegões CRL,Portugal,Peninsual de setubal,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Aragonez, Castelão, Touriga Nacional","14,5","4,8",4,128,15,No,Silver
Portugal Wine Trophy 2022,Papo Amarelo Reserva tinto,2021,Cooperativa Agricola Sto.isidro de Pegões CRL,Portugal,Peninsual de setubal,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Cabernet Sauvignon, Syrah, Aragonez, Castelão",14,5,4,38,"3,5",No,Gold
Portugal Wine Trophy 2022,Adega de Pegoes Cabernet Sauvignon,2019,Cooperativa Agricola Sto.isidro de Pegões CRL,Portugal,Peninsual de setubal,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Cabernet Sauvignon,14,"4,72",4,148,5,No,Gold
Portugal Wine Trophy 2022,KTI Cuvee Reserve by Katharina Baumgartner,2020,Ing. W. Baumgartner GmbH & Co. KG.,Austria,Niederösterreich,Vino tranquilo,Seco,tanque de acero,tinto,"Merlot, Zweigelt blau, Cabernet Sauvignon","13,5","4,6","1,9",95,"12,9",No,Gold
Portugal Wine Trophy 2022,Aproximar,2018,Adega Cooperativa Dois Portos,Portugal,Lisboa,Vino tranquilo,Seco,tanque de acero,tinto,"Touriga Nacional, Alicante Bouschet","13,97","4,37","0,6",52,8,No,Gold
Portugal Wine Trophy 2022,The Pioneer Shiraz,2016,Wakefield Taylors Wines,Australia,Clare Valley - South Australia,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Shiraz,"14,5","7,03","0,82",160,100,No,Grand Gold
Portugal Wine Trophy 2022,The Visionary Cabernet Sauvignon,2016,Wakefield Taylors Wines,Australia,Clare Valley - South Australia,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Cabernet Sauvignon,"14,5","7,01","10,32",155,100,No,Grand Gold
Portugal Wine Trophy 2022,Tavera Edición Numerada,2019,MW Wines,España,Kastilien-La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Sirah,"14,5","5,14","2,8",75,"12,9",No,Gold
Portugal Wine Trophy 2022,Tavera Vendimia Seleccionada,2017,MW Wines,España,Kastilien-La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Garnacha, Tempranillo, Sirah","14,5","4,98",2,116,"3,8",No,Gold
Portugal Wine Trophy 2022,Tavera Garnacha Roble,2019,MW Wines,España,Kastilien-La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Garnacha,"14,5","5,18","2,4",85,No especificado,No,Gold
Portugal Wine Trophy 2022,Quinta dos Monteirinhos Manel Chaves,2018,"Quinta dos Monteirinhos, Lda",Portugal,Dão,Vino tranquilo,afrutado,maduración en barrica - parcialmente,tinto,Touriga Nacional,"14,5","5,54","0,4",29,"25,43",No,Gold
Portugal Wine Trophy 2022,Quinta dos Monteirinhos Menino Afonso,2017,"Quinta dos Monteirinhos, Lda",Portugal,Dão,Vino tranquilo,afrutado,maduración en barrica - parcialmente,tinto,"Jaen, Touriga Nacional, Tinta Roriz",13,"5,01","0,9",63,"8,47",No,Silver
Portugal Wine Trophy 2022,Autentico Tinto,2021,Bodegas Coviñas,España,Valencia,Vino tranquilo,Seco,tanque de acero,tinto,"Bobal, Tempranillo","12,5","5,1","3,2",9,3,Sí,Gold
Portugal Wine Trophy 2022,Requevin Tinto Reserva,2018,Bodegas Coviñas,España,Valencia,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Cabernet Sauvignon, Garnacha, Tempranillo, Bobal",13,"5,15","3,4",99,"4,5",No,Silver
Portugal Wine Trophy 2022,Camino de Seda,2021,Artiga Fustel S.L.,España,Murcia,Vino tranquilo,Seco,tanque de acero,tinto,"Petit Verdot, Sirah, Monastrell","14,85","4,7","0,8",0,"6,95",No,Silver
Portugal Wine Trophy 2022,Kétvölgy Kékfrankos,2018,Vesztergombi Bt,Hungría,Pannon,Vino tranquilo,Seco,tanque de acero,tinto,Kekfrankos,"13,76","5,2","1,1",0,7,No,Silver
Portugal Wine Trophy 2022,Bodzás Merlot,2017,Vesztergombi Bt,Hungría,Pannon,Vino tranquilo,Seco,tanque de acero,tinto,Merlot,"14,45","5,2","1,7",0,20,No,Gold
Portugal Wine Trophy 2022,Alpha,2017,Vesztergombi Bt,Hungría,Pannon,Vino tranquilo,Seco,tanque de acero,tinto,"Shiraz, Cabernet Sauvignon, Merlot, Cabernet Franc","15,51","5,1","1,8",0,70,No,Gold
Portugal Wine Trophy 2022,Castelo de Azurara,2017,"Adega Cooperativa de Mangualde, CRL.",Portugal,Dão,Vino tranquilo,Seco,tanque de acero,tinto,Touriga Nacional,"13,55","5,77","1,3",119,"7,99",No,Silver
Portugal Wine Trophy 2022,Castelo de Azurara,2017,"Adega Cooperativa de Mangualde, CRL.",Portugal,Dão,Vino tranquilo,Seco,tanque de acero,tinto,Alfrocheiro,"14,1","5,37","1,6",126,"7,99",No,Gold
Portugal Wine Trophy 2022,Paixão Natural,2020,Fundação ADFP,Portugal,Beiras,Vino tranquilo,Seco,tanque de acero,tinto,"Aragonez, Baga, Tourica National",15,"6,5","1,2",60,"7,5",No,Gold
Portugal Wine Trophy 2022,Caves Santa Marta  Touriga Nacional  Reserva,2015,"Caves Santa Marta, Vinhos e Derivados, CRL",Portugal,Douro,Vino tranquilo,Seco,tanque de acero,tinto,Touriga Nacional,"13,8","5,6","0,6",74,"14,69",No,Gold
Portugal Wine Trophy 2022,Conde Guião  Reserva,2018,"Caves Santa Marta, Vinhos e Derivados, CRL",Portugal,Douro,Vino tranquilo,Seco,tanque de acero,tinto,"Touriga Nacional, Tinta Roriz",15,"6,1","0,6",50,15,No,Gold
Portugal Wine Trophy 2022,Apaixonado Touriga Nacional,2017,"Ávidos Douro, Lda",Portugal,Douro,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Touriga Nacional,"14,7","5,2","0,8",87,"23,9",No,Gold
